회사명,종합등급,환경,사회,지배구조
대덕전자,A,A,A,B+
대동,C,B,A,D
대동전자,D,D,D,C
대림비앤코,C,C,C,C
대림통상,D,C,C,D
대상,A,A,A+,B+
대상홀딩스,B+,A,A+,B
대성산업,D,D,D,D
대성에너지,C,C,C,C
대성홀딩스,C,C,C,C
대신증권,B+,B,A,B+
대양금속,D,C,C,D
대영포장,D,D,C,D
대우건설,A,A+,B+,A
대우부품,D,D,D,D
대웅,B+,A,A,B+
대웅제약,B+,A,A,B
대원강업,C,B,B+,C
대원전선,D,C,D,D
대원제약,B,C,B,B+
대원화성,D,C,D,D
대유에이텍,C,C,B,D
대유플러스,D,C,D,D
대창,D,C,D,D
대창단조,C,C,D,C
대한방직,C,C,D,B
대한유화,B+,B+,B+,B
대한전선,A,A,A+,B+
대한제강,C,C,C,C
대한제당,C,C,C,C
대한제분,D,C,D,D
대한항공,A,A,A+,A
대한해운,C,B,B+,D
대한화섬,C,C,D,B
대현,C,D,D,B+
대호에이엘,C,C,D,B
더블유게임즈,B,D,C,B+
더존비즈온,C,D,B,D
덕성,C,C,D,B
덕양산업,C,D,B,D
덴티움,D,D,D,D
도화엔지니어링,B,C,B,B
동국홀딩스,A,A,A,B+
동남합성,D,D,D,C
동방,C,C,B,D
동방아그로,C,D,C,B
동부건설,B+,B+,B+,B
동서,D,C,C,D
동성제약,C,D,C,C
동성케미컬,A,A+,A+,B+
동아쏘시오홀딩스,A,B+,A+,A
동아에스티,A,B+,A+,A
동아지질,D,D,D,D
동아타이어,D,D,D,D
동양,D,D,D,C
동양고속,C,C,D,C
동양생명,B,C,B,B+
동양철관,C,C,C,C
동양피스톤,C,C,B,D
동원F&B,B,B+,A,C
동원금속,C,C,C,C
동원산업,B+,B+,B+,B
동원수산,D,D,D,D
동원시스템즈,B,A,A,C
동일고무벨트,A,A,A,B+
동일산업,C,C,D,B
동일제강,C,C,D,C
동화약품,C,C,B,C
두산,B+,A,A+,B
두산로보틱스,-,-,-,-
두산밥캣,A,B,A,A
두산에너빌리티,B+,A,A+,B
두산퓨얼셀,A,B+,A+,A
두올,C,C,B,D
드림텍,C,C,C,B+
디씨엠,C,D,C,B
디아이,D,C,C,D
디아이동일,D,D,D,C
디아이씨,D,C,C,D
디와이,C,D,C,B
디와이파워,C,C,D,C
락앤락,C,C,C,B
롯데관광개발,D,D,C,D
롯데렌탈,B+,A,A,B
롯데손해보험,B+,B,B+,B+
롯데쇼핑,A,A,A+,A
롯데에너지머티리얼즈,C,B,B,C
롯데웰푸드,B+,B+,A,B+
롯데이노베이트,A,A,A+,A
롯데정밀화학,A+,A+,A+,A
롯데지주,A,A,A+,A
롯데칠성음료,A,A+,A,B+
롯데케미칼,B+,A,A+,B
롯데하이마트,A,A,A+,A
마니커,D,D,D,C
만호제강,C,C,C,B+
맵스리얼티1,-,-,-,-
메리츠금융지주,B+,B,A,B+
메리츠증권,-,-,-,-
메타랩스,D,D,D,D
메타케어,D,D,D,C
명문제약,C,D,D,B
명신산업,D,C,C,D
모나리자,B+,B+,A,B
모나미,D,D,C,D
모나용평,D,C,D,D
모토닉,C,C,C,B
메리츠금융지주,B+,B,A,B+
메리츠증권,-,-,-,-
메타랩스,D,D,D,D
메타케어,D,D,D,C
명문제약,C,D,D,B
명신산업,D,C,C,D
모나리자,B+,B+,A,B
모나미,D,D,C,D
모나용평,D,C,D,D
모토닉,C,C,C,B
메리츠금융지주,B+,B,A,B+
메리츠증권,-,-,-,-
메타랩스,D,D,D,D
메타케어,D,D,D,C
명문제약,C,D,D,B
명신산업,D,C,C,D
모나리자,B+,B+,A,B
모나미,D,D,C,D
모나용평,D,C,D,D
모토닉,C,C,C,B
메리츠금융지주,B+,B,A,B+
메리츠증권,-,-,-,-
메타랩스,D,D,D,D
메타케어,D,D,D,C
명문제약,C,D,D,B
명신산업,D,C,C,D
모나리자,B+,B+,A,B
모나미,D,D,C,D
모나용평,D,C,D,D
모토닉,C,C,C,B
빙그레,A,A,A+,B+
사조대림,B,B+,A,C
사조동아원,C,B+,B,C
사조산업,B,B+,B+,C
사조씨푸드,B,B,B+,B
사조오양,C,B,B+,C
삼부토건,C,C,C,C
삼성E&A,A,A+,A+,A
삼성SDI,A,A+,A+,B+
삼성공조,C,C,C,C
삼성물산,A+,A+,A+,A+
삼성바이오로직스,A+,A,A,A+
삼성생명,A,A+,A+,B+
삼성에스디에스,A,A,A+,B+
삼성전기,A,A,A+,A
삼성전자,A,A,A+,B+
삼성제약,D,D,D,C
삼성중공업,A,A,A+,B+
삼성증권,B+,A,A+,B
삼성출판사,C,D,D,B
삼성카드,A,A+,A+,A
삼성화재해상보험,A,A,A+,A
삼아알미늄,C,C,D,C
삼양사,B+,A+,A,B
삼양식품,A,A,A+,A
삼양통상,C,C,D,B+
삼양패키징,B,B+,B+,C
삼양홀딩스,B+,A,A,B+
삼영,C,C,D,C
삼영무역,C,D,D,B+
삼영전자공업,D,C,C,D
삼원강재,B,B,B,B+
삼익THK,C,C,C,B
삼익악기,C,C,D,C
삼일씨엔에스,D,C,D,D
삼일제약,C,D,C,C
삼정펄프,D,C,C,D
삼진제약,C,D,D,B+
삼천리,C,B,B,C
삼호개발,B+,B,A,B+
삼화왕관,D,C,D,D
삼화전기,D,C,C,D
삼화전자공업,D,D,D,D
삼화콘덴서공업,D,C,C,D
삼화페인트공업,B+,B+,A,B+
상상인증권,D,D,C,D
상신브레이크,C,D,B,C
새론오토모티브,D,C,D,D
샘표,C,C,B,D
샘표식품,C,C,B,D
서연,B+,B+,A,B+
서연이화,B+,B+,A,B
서울도시가스,C,C,B,C
서울식품공업,D,C,D,D
서원,C,C,D,C
서흥,B+,B+,A,B
선도전기,D,C,C,D
선진,B+,C,B,A
성문전자,C,C,D,C
성보화학,D,D,C,C
성신양회,B,B,A,C
성안머티리얼스,D,D,D,D
성창기업지주,D,D,D,C
세기상사,C,D,D,B
세방,B+,B+,B+,B
세방전지,C,C,C,C
세아베스틸지주,A,A,A,A
세아제강,A,B+,A,A
세아제강지주,B+,B+,A,B+
세아특수강,A,B+,A,A
세아홀딩스,B+,A,A+,B
세우글로벌,D,D,D,D
세원이앤씨,D,D,D,D
세원정공,C,C,C,C
세이브존I&C,C,D,C,C
세진중공업,C,C,D,C
셀트리온,B,B+,A+,C
솔루스첨단소재,B,C,B+,B
솔루엠,C,D,D,B
송원산업,C,B+,B+,D
수산중공업,C,C,D,B
스타에스엠리츠,D,D,D,C
스틱인베스트먼트,B,C,A,B
시디즈,D,C,D,D
시알홀딩스,D,C,D,D
신대양제지,D,C,D,D
신도리코,C,C,D,C
신라교역,D,D,D,C
신성이엔지,D,C,D,D
신성통상,D,D,D,D
신세계,A,A,A+,A
신세계I&C,A,A,A+,A
신세계건설,B+,B+,A,B+
신세계인터내셔날,A,A,A,A
신세계푸드,A,B+,A,A
신송홀딩스,C,D,D,B
신영와코루,D,D,D,D
신영증권,B+,B,A,B+
신원,C,C,B,D
신일전자,D,D,D,D
신풍,D,D,D,C
신풍제약,D,D,D,D
신한지주,A+,A+,A+,A+
신흥,C,D,C,C
쌍방울,D,D,D,D
쌍용씨앤이,B+,B+,B,A
써니전자,D,C,C,D
씨아이테크,D,D,D,D
씨에스윈드,A,B+,B+,A
씨티알모빌리티,C,D,C,B
아남전자,D,D,C,C
아모레퍼시픽,A,A,A+,A
아모레퍼시픽그룹,A,A,A+,A
아세아,A,B+,B+,A
아세아시멘트,B+,B+,A,B
아세아제지,C,B,B+,D
아센디오,D,D,D,D
아시아나IDT,D,C,C,D
아시아나항공,B+,A,A,B
아이마켓코리아,C,C,B+,C
아이에스동서,B+,B+,A,B+
아이에이치큐,D,D,C,D
아주스틸,C,C,C,C
알루코,D,C,C,D
애경산업,A,A,A+,A
애경케미칼,A,A,A,B+
에넥스,C,C,C,C
에스디바이오센서,D,C,C,D
에스엘,B+,B+,A,B+
에스엠벡셀,D,D,C,C
아이에스동서,B+,B+,A,B+
아이에이치큐,D,D,C,D
아주스틸,C,C,C,C
알루코,D,C,C,D
애경산업,A,A,A+,A
애경케미칼,A,A,A,B+
에넥스,C,C,C,C
에스디바이오센서,D,C,C,D
에스엘,B+,B+,A,B+
에스엠벡셀,D,D,C,C
아이에스동서,B+,B+,A,B+
아이에이치큐,D,D,C,D
아주스틸,C,C,C,C
알루코,D,C,C,D
애경산업,A,A,A+,A
애경케미칼,A,A,A,B+
에넥스,C,C,C,C
에스디바이오센서,D,C,C,D
에스엘,B+,B+,A,B+
에스엠벡셀,D,D,C,C
아이에스동서,B+,B+,A,B+
아이에이치큐,D,D,C,D
아주스틸,C,C,C,C
알루코,D,C,C,D
애경산업,A,A,A+,A
애경케미칼,A,A,A,B+
에넥스,C,C,C,C
에스디바이오센서,D,C,C,D
에스엘,B+,B+,A,B+
에스엠벡셀,D,D,C,C
아이에스동서,B+,B+,A,B+
아이에이치큐,D,D,C,D
아주스틸,C,C,C,C
알루코,D,C,C,D
애경산업,A,A,A+,A
애경케미칼,A,A,A,B+
에넥스,C,C,C,C
에스디바이오센서,D,C,C,D
에스엘,B+,B+,A,B+
에스엠벡셀,D,D,C,C
오뚜기,B+,B+,A,B+
오리엔트바이오,D,D,D,D
오리온,A,A,A,B+
오리온홀딩스,A,A,A,A
와이투솔루션,C,C,C,C
우리금융지주,A,A+,A+,A
우리종금,B+,B+,A,B+
우성,C,D,C,C
우신시스템,C,D,D,B
우진,C,D,C,C
오뚜기,B+,B+,A,B+
오리엔트바이오,D,D,D,D
오리온,A,A,A,B+
오리온홀딩스,A,A,A,A
와이투솔루션,C,C,C,C
우리금융지주,A,A+,A+,A
우리종금,B+,B+,A,B+
우성,C,D,C,C
우신시스템,C,D,D,B
우진,C,D,C,C
오뚜기,B+,B+,A,B+
오리엔트바이오,D,D,D,D
오리온,A,A,A,B+
오리온홀딩스,A,A,A,A
와이투솔루션,C,C,C,C
우리금융지주,A,A+,A+,A
우리종금,B+,B+,A,B+
우성,C,D,C,C
우신시스템,C,D,D,B
우진,C,D,C,C
오뚜기,B+,B+,A,B+
오리엔트바이오,D,D,D,D
오리온,A,A,A,B+
오리온홀딩스,A,A,A,A
와이투솔루션,C,C,C,C
우리금융지주,A,A+,A+,A
우리종금,B+,B+,A,B+
우성,C,D,C,C
우신시스템,C,D,D,B
우진,C,D,C,C
인터지스,C,C,C,C
인팩,C,C,C,B
일동제약,B+,B+,A+,B
일동홀딩스,A,B+,A+,B+
일성건설,D,C,D,D
일성아이에스,C,D,C,B
일신방직,D,C,C,D
일신석재,D,D,D,C
일양약품,C,D,C,B+
일정실업,D,D,D,C
일진다이아,D,D,D,C
일진디스플,C,C,D,C
일진전기,D,C,C,D
일진하이솔루스,C,C,B,C
일진홀딩스,B,D,C,B+
잇츠한불,C,C,C,B
자이에스앤디,C,C,B,B
자화전자,D,C,C,D
전방,D,C,C,D
제이에스코퍼레이션,D,D,D,C
제이준코스메틱,D,D,D,D
제일기획,A,A,A+,A
제일약품,C,C,B+,D
제일연마,C,C,D,B
제일파마홀딩스,C,C,B+,D
제주은행,B+,B+,A,B+
제주항공,A,A,A+,B+
조광페인트,C,C,B,C
조광피혁,C,D,D,B
조비,D,D,D,D
조선선재,D,D,D,D
조일알미늄,C,C,C,B
조흥,C,C,B,C
종근당,B+,A,A,B
종근당바이오,B+,A,A,B
종근당홀딩스,B+,A,A,B+
주성코퍼레이션,D,C,D,D
주연테크,D,D,D,D
지누스,A,A,A,A
지엠비코리아,D,D,C,D
지역난방공사,A+,A+,A+,A
진도,D,D,D,D
진양산업,C,D,D,B
진양폴리우레탄,D,D,D,C
진양홀딩스,C,D,D,B
진양화학,C,C,D,C
진에어,A,A,A,A
진원생명과학,D,D,C,D
진흥기업,C,C,C,B
참엔지니어링,D,D,D,D
천일고속,D,C,D,D
청호ICT,D,D,D,D
체시스,D,C,D,D
카카오,A,A+,A+,B+
카카오뱅크,B+,B+,A,B+
카카오페이,A,A,A+,A
카프로,C,C,C,C
케이비아이동국실업,D,D,D,D
케이씨,C,C,A,D
케이씨씨,A,A,A,B+
케이씨씨글라스,A,A,A+,A
케이씨텍,B,C,B,B
케이씨티시,D,C,C,D
케이카,B,C,B,B
케이탑리츠,D,D,D,D
케이티,A,B+,A,A
케이티스카이라이프,B+,B+,A,B+
케이티앤지,A+,A+,A+,A+
코리아써키트,D,C,C,D
코리안리,A,A,A,A
코스맥스,B,A,A,D
코스맥스비티아이,B,A,A,C
코스모신소재,C,C,C,C
코스모화학,D,C,C,D
코아스,B,C,C,B+
코오롱,B+,B+,A,B
코오롱ENP,B,C,B,B+
코오롱글로벌,C,B,B+,C
코오롱인더,B+,B+,A+,B
코웨이,A,A,A+,B+
콘텐트리중앙,D,D,D,D
콜마홀딩스,A,A,A+,A
콤텍시스템,D,D,D,D
쿠쿠홀딩스,D,D,C,D
쿠쿠홈시스,D,D,C,D
크라운제과,C,C,B,C
크라운해태홀딩스,D,C,C,D
크래프톤,B+,C,A,A
키다리스튜디오,D,D,D,D
키움증권,B+,B,A,B
태경비케이,C,C,C,C
태경산업,C,C,C,C
태경케미컬,D,D,D,D
태광산업,C,C,C,C
태림포장,B,A,A,D
태양금속공업,D,C,C,D
태영건설,A,A,A,B+
태원물산,D,D,D,D
테이팩스,A,A,A,B+
텔코웨어,C,D,D,B
토니모리,C,D,D,B
티비에이치글로벌,D,D,D,C
티에이치엔,C,C,B,C
티와이홀딩스,B+,A,A,B
티웨이항공,B,B,C,B
티웨이홀딩스,D,C,C,D
티케이지휴켐스,B+,B+,A,B
파라다이스,-,-,-,-
파미셀,D,C,D,D
팜스코,A,B+,A,A
팜젠사이언스,D,D,C,D
팬오션,A,A+,A,A
퍼스텍,C,C,C,C
퍼시스,D,C,C,D
페이퍼코리아,D,C,C,D
평화산업,D,D,C,C
평화홀딩스,C,D,C,B+
포스코DX,-,-,-,-
포스코스틸리온,A,A,A+,B+
포스코인터내셔널,A,A,A+,A
포스코퓨처엠,A,A,A+,A
풀무원,A,A,A+,A
풍산,B+,B+,B+,B+
풍산홀딩스,B+,B+,B+,B+
플레이그램,D,D,D,D
하나금융지주,A,A+,A+,A
하나제약,C,D,C,C
하나투어,B+,B+,A,B+
하이브,C,B,B+,C
하이스틸,C,C,C,C
하이트진로,B,A,A,C
하이트진로홀딩스,B+,A,A,B
한국가스공사,A,A,A+,B+
한국공항,B+,A,B,B+
한국금융지주,B+,C,B+,B+
한국내화,C,B+,B+,D
한국단자공업,C,C,B,C
한국무브넥스,C,C,C,C
한국석유공업,B+,B+,B+,B+
한국수출포장공업,D,C,D,D
한국쉘석유,C,C,C,B+
한국앤컴퍼니,B+,B+,A,B+
한국자산신탁,C,C,C,B
한국전력공사,B+,B,A,A
한국전자홀딩스,D,C,C,D
한국제지,C,C,C,C
한국종합기술,C,C,C,B
한국주강,D,D,D,D
한국주철관공업,D,C,D,D
한국철강,C,C,D,B
한국카본,B,B+,B+,C
한국콜마,A,A,A+,A
한국타이어앤테크놀로지,B,B+,A+,D
한국토지신탁,C,D,C,B
한국특강,C,C,C,C
한국항공우주,B+,B+,A,B+
한국화장품,D,D,C,D
한국화장품제조,D,D,C,D
한농화성,D,C,C,D
한독,A,A,A+,B+
한미글로벌,B+,A,A+,B
한미반도체,D,D,D,C
한미사이언스,B+,A,A,B
한미약품,B+,A,A,B
한샘,A,A,A,A
한섬,A,A,A+,A
한성기업,C,B,B,D
한세실업,B+,B+,A,B+
한세엠케이,C,B,B+,C
한세예스24홀딩스,A,B+,A,A
한솔로지스틱스,B,C,B+,B+
한솔제지,A,A,A,A
한솔케미칼,B+,B+,B+,B+
한솔테크닉스,B+,B+,A,B+
한솔피엔에스,B+,B,B,A
한솔홀딩스,A,B+,A,A
한솔홈데코,B+,B+,B+,B+
한신공영,D,C,C,D
한신기계공업,D,C,D,D
한양증권,C,D,B,C
한온시스템,B+,B+,A+,B
한올바이오파마,B,B,D,B+
한익스프레스,C,C,C,C
한일시멘트,A,A,A+,B+
한일철강,D,D,D,D
한일현대시멘트,B+,A,A+,B
한일홀딩스,A,A,A+,B+
한전KPS,A,A,A,A
한전기술,A,B+,A+,A
한전산업,C,C,D,B
한진,A,A,A,A
한진중공업홀딩스,C,D,C,B+
한진칼,A,A,A+,A
한창,D,D,D,D
한창제지,C,C,C,C
한컴라이프케어,C,C,B,D
한화,B+,B+,B+,B+
한화생명,A,A,A+,B+
한화손해보험,A,A,A,A
한화솔루션,B+,A,A+,B
한화시스템,A,A,A+,A
한화에어로스페이스,A,A,A,A
한화엔진,B+,B,A,B+
한화오션,B+,B+,B+,B+
한화투자증권,A,A,A+,B+
해성디에스,A,A,A+,B+
해태제과식품,D,D,C,D
핸즈코퍼레이션,C,C,B,D
현대건설,A,A,A,A
현대글로비스,A+,A+,A+,A
현대로템,A,A,A+,A
현대리바트,A,A,A+,B+
현대모비스,A,A+,A+,B+
현대백화점,A+,A+,A+,A
현대비앤지스틸,B,A,B+,C
현대약품,C,C,C,B
현대엘리베이터,B+,B+,A,B+
현대오토에버,A,A+,A+,B+
현대위아,A+,A+,A+,A
현대자동차,A,A,A,B+
현대제철,A,A+,A,B+
현대지에프홀딩스,A,A,A+,A
현대차증권,A,B+,A+,B+
현대코퍼레이션,B+,B,B+,B+
현대코퍼레이션홀딩스,B+,B,B+,B+
현대퓨처넷,A,A,A+,A
현대해상,A,A,A+,A
현대홈쇼핑,A,A,A+,A
형지엘리트,D,D,D,D
혜인,D,D,D,D
호전실업,C,D,D,B
호텔신라,A,A,A,A
화승알앤에이,B,B,B+,B
화승엔터프라이즈,B+,B+,B+,B+
화승인더스트리,B+,B+,B+,B+
화승코퍼레이션,B,C,B,B+
화신,B+,B,A,B
화인베스틸,D,C,C,D
화천기계,C,D,C,C
화천기공,C,D,C,C
환인제약,B,C,C,B+
황금에스티,C,D,D,B
효성,A,A,A+,B+
효성 ITX,B+,B+,A+,B
효성중공업,A,A,A+,B+
효성티앤씨,A,A+,A+,B+
효성화학,A,A,A+,B+
후성,B+,A,A,B
휠라홀딩스,A,A,A,B+
휴니드테크놀러지스,D,C,D,D
휴비스,A,B+,A+,B+
휴스틸,C,C,C,C
흥국화재,B+,B,B+,B+
흥아해운,B,B,B+,B
