컬럼_1,컬럼_2,컬럼_3,컬럼_4,컬럼_5,컬럼_6,컬럼_7,컬럼_8,컬럼_9,컬럼_10,컬럼_11,컬럼_12
AJ네트웍스,B,D,B,B,-,-,-,-,-,,
AK홀딩스,B+,B,B+,B+,-,-,-,-,5,,
BGF,A,A,A+,A,-,-,-,-,28,,
BGF리테일,A,A,A+,A,S,-,-,BBB,15,,
BNK금융지주,A+,A,A+,A+,A,-,-,-,49,,
BYC,B,D,B,B+,-,-,-,-,-,,
CJ,A,B+,A+,A,A,-,-,BBB,29,,
CJ CGV,A,B,A,A,B+,-,-,-,27,,
CJ대한통운,A,A,A+,A,A,-,-,BBB,63,,
CJ씨푸드,B,C,B+,B+,-,-,-,-,-,,
CJ제일제당,A,A,A+,A,S,-,-,A,79,,
CS홀딩스,B,D,C,B+,-,-,-,-,-,,
DB,B,D,B+,B+,-,-,-,-,-,,
DB금융투자,B,D,B+,B,-,-,-,-,-,,
DB손해보험,A,A,A+,B+,A,-,-,BBB,58,,
DB하이텍,A,A,A,A,A,-,-,-,28,,
DGB금융지주,A+,A,A+,A+,-,-,-,-,67,,
DL,A,A+,A+,B+,B+,-,-,-,36,,
DL건설,B+,B+,A,B+,-,-,-,-,-,,
DL이앤씨,-,-,-,-,B+,-,-,-,48,,
CJ제일제당,A,A,A+,A,S,-,-,A,79,,
CS홀딩스,B,D,C,B+,-,-,-,-,-,,
DB,B,D,B+,B+,-,-,-,-,-,,
DB금융투자,B,D,B+,B,-,-,-,-,-,,
DB손해보험,A,A,A+,B+,A,-,-,BBB,58,,
DB하이텍,A,A,A,A,A,-,-,-,28,,
DGB금융지주,A+,A,A+,A+,-,-,-,-,67,,
DL,A,A+,A+,B+,B+,-,-,-,36,,
DL건설,B+,B+,A,B+,-,-,-,-,-,,
DL이앤씨,-,-,-,-,B+,-,-,-,48,,
DN오토모티브,B,B,C,B+,-,-,-,-,-,,
DRB동일,B+,B,B+,B+,-,-,-,-,-,,
DSR,B,B,B,B,-,-,-,-,-,,
DSR제강,C,C,C,B+,-,-,-,-,-,,
E1,B+,B+,A,B+,-,-,-,-,-,,
F&F,-,-,-,-,-,-,-,-,10,,
F&F 홀딩스,B+,B+,A,B+,-,-,-,CCC,10,,
GKL,B+,B+,B+,B+,A+,-,-,-,7,,
GS,A,A,A,A,B,-,-,BBB,11,,
GS건설,A,A,A+,A,B+,-,-,BBB,67,,
GS글로벌,B+,B,B+,A,-,-,-,-,-,,
GS리테일,A,A,A,A,A,-,-,-,7,,
HDC,B+,B,B+,A,-,-,-,-,8,,
HDC랩스,B,C,B,B+,-,-,-,-,-,,
HDC현대EP,B+,B,B+,B+,-,-,-,-,-,,
HDC현대산업개발,B,B,C,B+,B,-,-,-,10,,
HD한국조선해양,A,A,B+,A,A,-,-,B,32,,
HD현대,A,A,A+,A,A,-,-,BB,23,,
HD현대건설기계,A,B+,A+,A,-,-,-,-,44,,
HD현대마린엔진,B,C,B,B+,-,-,-,-,-,,
HD현대미포,A,A,A+,A,A+,-,-,-,29,,
HD현대에너지솔루션,A,A,A+,B+,-,-,-,-,-,,
HD현대인프라코어,A,A,A+,A,A+,-,-,-,53,,
HD현대일렉트릭,A,A,A+,A,-,-,-,-,41,,
HD현대중공업,-,-,-,-,B,-,-,-,-,,
HJ중공업,B,C,B,B+,-,-,-,-,-,,
HL D&I,B+,B+,B+,B+,-,-,-,-,-,,
HLB글로벌,C,D,C,B,-,-,-,-,-,,
HL만도,A,B+,A+,A,A+,-,-,-,46,,
HL홀딩스,A,B,A+,A,-,-,-,-,31,,
HMM,A,A,A+,A,A,-,-,BB,41,,
HS애드,B,D,B,B,-,-,-,-,-,,
HS화성,B,C,B+,B+,-,-,-,-,15,,
HS효성첨단소재,A,A,A+,A,S,-,-,-,42,,
JB금융지주,A+,A,A+,A+,-,-,-,-,58,,
JW생명과학,B,B,B+,B,-,-,-,-,19,,
JW중외제약,B,C,B+,B+,-,-,-,-,20,,
JW홀딩스,B,D,B+,B+,-,-,-,-,20,,
KB금융,A+,A+,A+,A+,A,-,-,AA,89,,
KC그린홀딩스,B,D,C,B+,-,-,-,-,-,,
KC코트렐,C,D,C,B+,-,-,-,-,-,,
KEC,B,B,B+,B,-,-,-,-,-,,
KG스틸,B,B+,B,B,A,-,-,-,-,,
KG케미칼,C,C,C,B,-,-,-,-,9,,
KH 필룩스,C,C,B,C,-,-,-,-,-,,
KIB플러그에너지,C,D,C,B,-,-,-,-,-,,
KISCO홀딩스,B,B,B,B,-,-,-,-,-,,
KPX케미칼,C,B,C,C,-,-,-,-,-,,
KPX홀딩스,B,B,C,B+,-,-,-,-,-,,
KR모터스,C,D,C,B,-,-,-,-,-,,
KSS해운,A,B+,A+,A,-,-,-,-,-,,
KTcs,A,B+,A,A,-,-,-,-,-,,
KTis,A,B+,A+,A,-,-,-,-,-,,
LF,B,D,B,B+,-,-,-,-,11,,
LG,A,A,A+,A,B+,-,-,BBB,31,,
LG디스플레이,B+,B,A,B+,A+,-,-,AA,60,,
LG생활건강,A,A,A+,A,A,-,-,A,82,,
LG에너지솔루션,-,-,-,-,-,-,-,-,38,,
LG유플러스,A,A,A+,A,B+,-,-,BB,40,,
LG이노텍,A,A,A+,A,A,-,-,BBB,73,,
LG전자,A,A,A+,A,A+,-,-,A,75,,
LG헬로비전,B+,C,A,A,-,-,-,-,11,,
LG화학,B+,B+,A,B+,B+,-,-,BBB,63,,
LIG넥스원,A,A,A+,A,S,-,-,-,15,,
LS,A,B+,A+,B+,B+,-,-,-,5,,
LS네트웍스,C,D,C,B,-,-,-,-,-,,
LS에코에너지,B,D,C,B+,-,-,-,-,-,,
LX세미콘,B+,B,B+,B+,-,-,-,-,16,,
LX인터내셔널,A,A,A+,A,B+,-,-,-,30,,
LX하우시스,A,A,A+,A,-,-,-,-,62,,
MH에탄올,B,B,D,B+,-,-,-,-,-,,
NAVER,A+,A,A,A+,A,-,-,AAA,35,,
NH투자증권,A,A,A+,A,B+,-,-,BB,29,,
NICE,B+,B,A,B+,-,-,-,-,19,,
NICE평가정보,B+,B,A,B,-,-,-,-,11,,
NI스틸,C,D,C,B,-,-,-,-,-,,
OCI홀딩스,A,B+,A+,A,A+,-,-,-,58,,
PI첨단소재,B+,B+,B,B+,A,-,-,-,14,,
POSCO홀딩스,A,A,B+,A+,A,-,-,BBB,76,,
S-Oil,A,B+,A+,A+,A+,-,-,BB,89,,
SBS,B,D,B+,B+,-,-,-,-,-,,
SGC에너지,B+,B+,A,B+,-,-,-,-,-,,
SG글로벌,C,C,C,C,-,-,-,-,-,,
SG세계물산,C,D,B,C,-,-,-,-,-,,
SHD,C,D,C,B,-,-,-,-,-,,
SH에너지화학,B,B,D,B+,-,-,-,-,-,,
SIMPAC,B,B,B,B,-,-,-,-,-,,
SJG세종,B,B,B,B,-,-,-,-,-,,
SK,A+,A+,A+,A+,A+,-,-,AA,76,,
SKC,A,A,A+,B+,A+,-,-,BB,37,,
SK가스,A,A,A+,A,-,-,-,-,46,,
SK네트웍스,A,B+,A+,A,A,-,-,-,44,,
SK디스커버리,A,A,A+,A,A+,-,-,-,43,,
SK디앤디,A,A,A+,A,-,-,-,-,6,,
SK렌터카,A,B+,A+,B+,-,-,-,-,28,,
SK바이오사이언스,-,-,-,-,B+,-,-,B,47,,
SK아이이테크놀로지,-,-,-,-,-,-,-,BB,38,,
SK이노베이션,A+,A,A+,A+,B+,-,-,A,77,,
SK증권,B+,C,A,B+,-,-,-,-,15,,
SK케미칼,A,A,A+,A,A+,-,-,BBB,60,,
SK텔레콤,A,A,A+,A,A+,-,-,A,88,,
SK하이닉스,A,B+,A+,A,A+,-,-,A,79,,
SNT다이내믹스,B,B,C,B,-,-,-,-,9,,
SNT모티브,B,C,B,B+,B+,-,-,-,22,,
SNT에너지,B,B,B,B,-,-,-,-,-,,
SNT홀딩스,B+,B,B,B+,-,-,-,-,-,,
SPC삼립,B+,B,A,B+,-,-,-,-,5,,
STX,B,D,B,B+,-,-,-,-,-,,
STX엔진,B+,B,B,B+,-,-,-,-,-,,
SUN&L,B+,B,B,B+,-,-,-,-,-,,
TCC스틸,B,B,C,B,-,-,-,-,-,,
TP,B,C,B+,B,-,-,-,-,-,,
TYM,A,B+,A+,B+,-,-,-,-,-,,
WISCOM,C,C,C,B+,-,-,-,-,-,,
YG PLUS,C,D,C,B,-,-,-,-,-,,
가온전선,B+,B,B+,B+,-,-,-,-,-,,
강남제비스코,B,B,B,B+,-,-,-,-,-,,
강원랜드,A,B+,A,A,A,-,-,BB,54,,
갤럭시아에스엠,C,D,D,B,-,-,-,-,-,,
경농,B,B,B,B,-,-,-,-,-,,
경동나비엔,B+,B+,B+,B+,-,-,-,-,8,,
경동도시가스,A,B+,A,A,-,-,-,-,-,,
경동인베스트,B+,B+,A,B+,-,-,-,-,-,,
경방,C,C,C,B+,-,-,-,-,-,,
경보제약,B+,B+,A,B+,-,-,-,-,24,,
경인양행,C,C,B,B,-,-,-,-,10,,
경인전자,C,D,C,B,-,-,-,-,-,,
계룡건설산업,C,D,D,B+,-,-,-,-,12,,
계양전기,B,B,B+,B,-,-,-,-,-,,
고려산업,C,C,D,B,-,-,-,-,-,,
고려아연,B,B+,C,B+,A,-,-,B,15,,
고려제강,B+,B+,B,B+,-,-,-,-,-,,
광동제약,B,C,B+,B+,-,-,-,-,22,,
광명전기,C,C,D,B,-,-,-,-,-,,
광전자,B,C,B,B+,-,-,-,-,-,,
광주신세계,A,B+,A,A,-,-,-,-,-,,
교보증권,B,D,B+,B,-,-,-,-,-,,
국도화학,B,B,C,B+,-,-,-,-,17,,
국동,B,D,B,B+,-,-,-,-,-,,
국보,D,D,D,C,-,-,-,-,-,,
국제약품,B,D,B,B+,-,-,-,-,-,,
그린케미칼,B,B,C,B,-,-,-,-,-,,
극동유화,B,B,C,B,-,-,-,-,-,,
금강공업,C,C,C,B+,-,-,-,-,-,,
금비,C,C,C,B,-,-,-,-,-,,
금양,C,D,C,B+,-,-,-,-,-,,
금호건설,C,C,D,C,-,-,-,-,18,,
금호석유화학,B+,B,A,A,A,-,-,B,35,,
금호에이치티,C,C,C,B,-,-,-,-,-,,
금호전기,B,C,B,B+,-,-,-,-,-,,
금호타이어,B+,B+,A,B+,B+,-,-,-,34,,
기신정기,C,D,C,B,-,-,-,-,-,,
