회사명,종합등급,환경,사회,지배구조,연도
삼성카드,A,A+,A+,A,2021
삼성카드,A,A+,A+,A,2021
삼성카드,A,A+,A+,A,2021
삼성카드,A,A,A+,A,2022
삼성카드,A,A+,A+,A,2023
삼성카드,A,A+,A+,A,2023
삼성카드,A,A+,A+,A,2023
삼성카드,A,A+,A+,A,2023
삼성카드,A,A+,A+,A,2024
삼성화재해상보험,A,A+,A+,A,2020
삼성화재해상보험,A,A+,A+,B+,2021
삼성화재해상보험,A,A+,A+,B+,2021
삼성화재해상보험,A,A+,A+,B+,2021
삼성화재해상보험,A,A+,A+,B+,2021
삼성화재해상보험,A,A,A,A,2022
삼성화재해상보험,A,A+,A+,B+,2023
삼성화재해상보험,A,A+,A+,B+,2023
삼성화재해상보험,A,A+,A+,B+,2023
삼성화재해상보험,A,A+,A+,B+,2023
삼성화재해상보험,A,A,A+,A,2024
삼아알미늄,B,B,C,B,2020
삼아알미늄,B,B,C,B+,2021
삼아알미늄,B,B,C,B+,2021
삼아알미늄,B,B,C,B+,2021
삼아알미늄,B,B,C,B+,2021
삼아알미늄,C,D,D,B,2022
삼아알미늄,B,B,C,B+,2023
삼아알미늄,B,B,C,B+,2023
삼아알미늄,B,B,C,B+,2023
삼아알미늄,B,B,C,B+,2023
삼아알미늄,C,C,D,C,2024
삼양사,B+,B+,B+,B,2020
삼양사,A,A,A,B+,2021
삼양사,A,A,A,B+,2021
삼양사,A,A,A,B+,2021
삼양사,A,A,A,B+,2021
삼양사,B+,B+,A,B,2022
삼양사,A,A,A,B+,2023
삼양사,A,A,A,B+,2023
삼양사,A,A,A,B+,2023
삼양사,A,A,A,B+,2023
삼양사,B+,A+,A,B,2024
삼양식품,B,B,B,B,2020
삼양식품,A,A,A+,A,2021
삼양식품,A,A,A+,A,2021
삼양식품,A,A,A+,A,2021
삼양식품,A,A,A+,A,2021
삼양식품,B+,A,A+,B,2022
삼양식품,A,A,A+,A,2023
삼양식품,A,A,A+,A,2023
삼양식품,A,A,A+,A,2023
삼양식품,A,A,A+,A,2023
삼양식품,A,A,A+,A,2024
삼양통상,C,B,C,D,2020
삼양통상,B,C,C,B+,2021
삼양통상,B,C,C,B+,2021
삼양통상,B,C,C,B+,2021
삼양통상,B,C,C,B+,2021
삼양통상,C,D,D,B,2022
삼양통상,B,C,C,B+,2023
삼양통상,B,C,C,B+,2023
삼양통상,B,C,C,B+,2023
삼양통상,B,C,C,B+,2023
삼양통상,C,C,D,B+,2024
삼양패키징,C,C,B+,C,2020
삼양패키징,B+,B,B+,B+,2021
삼양패키징,B+,B,B+,B+,2021
삼양패키징,B+,B,B+,B+,2021
삼양패키징,B+,B,B+,B+,2021
삼양패키징,B,C,B+,B,2022
삼양패키징,B+,B,B+,B+,2023
삼양패키징,B+,B,B+,B+,2023
삼양패키징,B+,B,B+,B+,2023
삼양패키징,B+,B,B+,B+,2023
삼양패키징,B,B+,B+,C,2024
삼양홀딩스,B+,B,B+,B+,2020
삼양홀딩스,B+,B+,A,B,2022
삼양홀딩스,B+,A,A,B+,2024
삼영,C,B,C,C,2020
삼영,C,C,D,C,2022
삼영,C,C,D,C,2024
삼영무역,C,D,C,C,2020
삼영무역,B,D,C,B+,2022
삼영무역,C,D,D,B+,2024
삼영전자공업,B+,B+,B+,B,2020
삼영전자공업,C,C,D,C,2022
삼영전자공업,D,C,C,D,2024
삼원강재,B,B+,C,B,2020
삼원강재,C,C,D,C,2022
삼원강재,B,B,B,B+,2024
삼익THK,B+,B,B,B+,2020
삼익THK,C,C,C,C,2022
삼익THK,C,C,C,B,2024
삼익악기,C,D,C,B,2020
삼익악기,D,C,D,D,2022
삼익악기,C,C,D,C,2024
삼일씨엔에스,B,C,B,B+,2020
삼일씨엔에스,D,D,D,D,2022
삼일씨엔에스,D,C,D,D,2024
삼일제약,B,D,B+,B,2020
삼일제약,D,D,D,C,2022
삼일제약,C,D,C,C,2024
삼정펄프,C,C,B,C,2020
삼정펄프,D,D,C,D,2022
삼정펄프,D,C,C,D,2024
삼진제약,B,D,B+,B,2020
삼진제약,D,D,D,D,2022
삼진제약,C,D,D,B+,2024
삼천리,B+,B+,A,B+,2020
삼천리,C,C,B+,C,2022
삼천리,C,B,B,C,2024
삼호개발,D,D,C,C,2020
삼호개발,B,C,B+,B,2022
삼호개발,B+,B,A,B+,2024
삼화왕관,B,B,C,B,2020
삼화왕관,D,D,D,D,2022
삼화왕관,D,C,D,D,2024
삼화전기,C,C,B,B,2020
삼화전기,D,D,D,D,2022
삼화전기,D,C,C,D,2024
삼화전자공업,D,D,C,C,2020
삼화전자공업,D,D,D,D,2022
삼화전자공업,D,D,D,D,2024
삼화콘덴서공업,B,B,B,B,2020
삼화콘덴서공업,D,D,C,D,2022
삼화콘덴서공업,D,C,C,D,2024
삼화페인트공업,B+,B,B+,B+,2020
삼화페인트공업,B,C,B+,B+,2022
삼화페인트공업,B+,B+,A,B+,2024
상상인증권,C,D,B,C,2020
상상인증권,D,D,C,D,2022
상상인증권,D,D,C,D,2024
상신브레이크,B,B,B,B,2020
상신브레이크,D,D,C,C,2022
상신브레이크,C,D,B,C,2024
새론오토모티브,B,B,B,B,2020
새론오토모티브,C,C,C,B,2021
새론오토모티브,D,D,C,C,2022
새론오토모티브,C,C,C,B,2023
새론오토모티브,D,C,D,D,2024
샘표,C,B,B+,C,2020
샘표,B,B,B+,B,2021
샘표,C,D,C,C,2022
샘표,B,B,B+,B,2023
샘표,C,C,B,D,2024
샘표식품,C,B,B+,C,2020
샘표식품,B,B,B+,B,2021
샘표식품,C,D,C,C,2022
샘표식품,B,B,B+,B,2023
샘표식품,C,C,B,D,2024
서연,B+,C,B+,B+,2020
서연,B+,B+,A,B+,2021
서연,B+,B,A,B,2022
서연,B+,B+,A,B+,2023
서연,B+,B+,A,B+,2024
서연이화,B+,B,B+,B+,2020
서연이화,A,B+,A,A,2021
서연이화,B+,B,A,B+,2022
서연이화,A,B+,A,A,2023
서연이화,B+,B+,A,B,2024
서울도시가스,B,C,B+,B,2020
서울도시가스,B+,C,B+,A,2021
서울도시가스,C,D,B,C,2022
서울도시가스,B+,C,B+,A,2023
서울도시가스,C,C,B,C,2024
서울식품공업,B,B,B,B,2020
서울식품공업,B+,B,B,B+,2021
서울식품공업,D,D,D,D,2022
서울식품공업,B+,B,B,B+,2023
서울식품공업,D,C,D,D,2024
서원,B,B,C,B,2020
서원,B,B,C,B+,2021
서원,C,C,D,C,2022
서원,B,B,C,B+,2023
서원,C,C,D,C,2024
서흥,C,C,C,B,2020
서흥,B,C,B,B+,2021
서흥,B,C,B,B+,2022
서흥,B,C,B,B+,2023
서흥,B+,B+,A,B,2024
선도전기,B,B,C,B,2020
선도전기,C,C,C,B,2021
선도전기,D,D,D,D,2022
선도전기,C,C,C,B,2023
선도전기,D,C,C,D,2024
선진,B,D,B,B+,2020
선진,C,C,B+,C,2022
선진,B+,C,B,A,2024
성문전자,C,C,B,C,2020
성문전자,D,D,C,D,2022
성문전자,C,C,D,C,2024
성보화학,C,D,B,B,2020
성보화학,D,D,C,C,2022
성보화학,D,D,C,C,2024
성신양회,C,B+,B,C,2020
성신양회,C,C,B,C,2022
성신양회,B,B,A,C,2024
성안머티리얼스,C,C,C,B,2020
성안머티리얼스,C,D,D,B,2022
성안머티리얼스,D,D,D,D,2024
성창기업지주,C,D,C,C,2020
성창기업지주,D,D,D,D,2022
성창기업지주,D,D,D,C,2024
세기상사,C,D,C,C,2020
세기상사,D,D,D,D,2022
세기상사,C,D,D,B,2024
세방,B+,B,B+,B+,2020
세방,C,C,C,B,2022
세방,B+,B+,B+,B,2024
세방전지,B,B+,B,B,2020
세방전지,C,B,C,C,2022
세방전지,C,C,C,C,2024
세아베스틸지주,B,B,B,B+,2020
세아베스틸지주,C,C,B,B,2022
세아베스틸지주,A,A,A,A,2024
세아제강,B,B,B+,B,2020
세아제강,B+,B+,B+,B+,2021
세아제강,B+,B,B+,B+,2022
세아제강,B+,B+,B+,B+,2023
세아제강,A,B+,A,A,2024
세아제강지주,B,C,B,B,2020
세아제강지주,B+,B+,B+,B+,2021
세아제강지주,B,B,B+,B,2022
세아제강지주,B+,B+,B+,B+,2023
세아제강지주,B+,B+,A,B+,2024
세아특수강,B,B,C,B,2020
세아특수강,B+,B+,B+,B+,2021
세아특수강,B+,C,B+,A,2022
세아특수강,B+,B+,B+,B+,2023
세아특수강,A,B+,A,A,2024
세아홀딩스,B,C,B,B+,2020
세아홀딩스,B+,B+,B+,B+,2021
세아홀딩스,C,C,B+,C,2022
세아홀딩스,B+,B+,B+,B+,2023
세아홀딩스,B+,A,A+,B,2024
세우글로벌,C,B,C,C,2020
세우글로벌,D,D,C,D,2021
세우글로벌,D,D,D,D,2022
세우글로벌,D,D,C,D,2023
세우글로벌,D,D,D,D,2024
세원이앤씨,B,B,B,B,2020
세원이앤씨,C,D,C,B,2021
세원이앤씨,D,D,C,D,2022
세원이앤씨,C,D,C,B,2023
세원이앤씨,D,D,D,D,2024
세원정공,C,C,B+,D,2020
세원정공,C,C,B,C,2021
세원정공,D,D,C,D,2022
세원정공,C,C,B,C,2023
세원정공,C,C,C,C,2024
세이브존I&C,C,D,B,C,2020
세이브존I&C,C,D,C,B,2021
세이브존I&C,C,D,C,C,2022
세이브존I&C,C,D,C,B,2023
세이브존I&C,C,D,C,C,2024
세진중공업,B,D,B+,B+,2020
세진중공업,C,C,C,B+,2021
세진중공업,D,D,D,C,2022
세진중공업,C,C,C,B+,2023
세진중공업,C,C,D,C,2024
셀트리온,B+,B,B,B+,2020
셀트리온,B,C,B+,B+,2021
셀트리온,B,C,B+,B,2022
셀트리온,B,C,B+,B+,2023
셀트리온,B,B+,A+,C,2024
솔루스첨단소재,B,D,B,B+,2021
솔루스첨단소재,C,D,C,B,2022
솔루스첨단소재,B,D,B,B+,2023
솔루스첨단소재,B,C,B+,B,2024
솔루엠,-,-,-,-,2022
솔루엠,C,D,D,B,2024
송원산업,B,B+,B+,C,2020
송원산업,C,B,B,C,2021
송원산업,D,C,C,D,2022
송원산업,C,B,B,C,2023
송원산업,C,B+,B+,D,2024
수산중공업,B,B,B,B,2020
수산중공업,C,D,C,B+,2021
수산중공업,D,D,D,C,2022
수산중공업,C,D,C,B+,2023
수산중공업,C,C,D,B,2024
스타에스엠리츠,D,D,D,C,2024
스틱인베스트먼트,B,D,B,B+,2020
스틱인베스트먼트,C,D,C,B+,2021
스틱인베스트먼트,C,D,C,B+,2023
스틱인베스트먼트,B,C,A,B,2024
시디즈,C,D,C,B,2020
시디즈,C,C,C,C,2021
시디즈,C,D,C,C,2022
시디즈,C,C,C,C,2023
시디즈,D,C,D,D,2024
시알홀딩스,C,B,B,C,2020
시알홀딩스,B,B,B,B,2021
시알홀딩스,D,C,C,D,2022
시알홀딩스,B,B,B,B,2023
시알홀딩스,D,C,D,D,2024
신대양제지,C,C,C,C,2020
신대양제지,C,C,C,B,2021
신대양제지,D,D,C,D,2022
신대양제지,C,C,C,B,2023
신대양제지,D,C,D,D,2024
신도리코,B,B,B+,B,2020
신도리코,C,C,C,B+,2021
신도리코,C,C,D,B+,2022
신도리코,C,C,C,B+,2023
신도리코,C,C,D,C,2024
신라교역,C,D,C,B,2020
신라교역,C,D,D,B+,2021
신라교역,D,D,D,C,2022
신라교역,C,D,D,B+,2023
신라교역,D,D,D,C,2024
신성이엔지,C,C,C,B,2020
신성이엔지,B,B,C,B+,2021
신성이엔지,D,D,C,C,2022
신성이엔지,B,B,C,B+,2023
신성이엔지,D,C,D,D,2024
신성통상,C,C,D,C,2020
신성통상,C,C,C,B,2021
신성통상,D,D,D,D,2022
신성통상,C,C,C,B,2023
신성통상,D,D,D,D,2024
신세계,A,B+,A,A,2020
신세계,A,A,A+,A,2021
신세계,A,A,A+,B+,2022
신세계,A,A,A+,A,2023
신세계,A,A,A+,A,2024
신세계I&C,B+,B,B+,B+,2020
신세계I&C,B+,B,B+,A,2021
신세계I&C,B+,B+,A,B+,2022
신세계I&C,B+,B,B+,A,2023
신세계I&C,A,A,A+,A,2024
신세계건설,B,C,B,B+,2020
신세계건설,B+,C,A,A,2021
신세계건설,B+,B,A,B+,2022
신세계건설,B+,C,A,A,2023
신세계건설,B+,B+,A,B+,2024
신세계인터내셔날,A,B,A,A,2020
신세계인터내셔날,A,B+,A,A,2021
신세계인터내셔날,B+,C,B+,B+,2022
신세계인터내셔날,A,B+,A,A,2023
신세계인터내셔날,A,A,A,A,2024
신세계푸드,B+,B,B+,B+,2020
신세계푸드,A,B+,A,A,2021
신세계푸드,B,C,B+,B+,2022
신세계푸드,A,B+,A,A,2023
신세계푸드,A,B+,A,A,2024
신송홀딩스,B,D,B,B+,2020
신송홀딩스,C,D,C,B,2021
신송홀딩스,D,D,D,C,2022
신송홀딩스,C,D,C,B,2023
신송홀딩스,C,D,D,B,2024
신영와코루,C,D,B,C,2020
신영와코루,C,D,B,B,2021
신영와코루,D,D,D,D,2022
신영와코루,C,D,B,B,2023
신영와코루,D,D,D,D,2024
신영증권,B,D,B,B+,2020
신영증권,B,D,C,B+,2021
신영증권,B+,C,B+,B+,2022
신영증권,B,D,C,B+,2023
신영증권,B+,B,A,B+,2024
신원,D,D,C,C,2020
신원,C,D,B,B,2021
신원,D,D,C,C,2022
신원,C,D,B,B,2023
신원,C,C,B,D,2024
신일전자,C,D,C,B,2020
신일전자,C,D,D,B+,2021
신일전자,D,D,D,D,2022
신일전자,C,D,D,B+,2023
신일전자,D,D,D,D,2024
신풍,B,B+,C,B,2020
신풍,B+,B,B,B+,2021
신풍,D,D,D,C,2022
신풍,B+,B,B,B+,2023
신풍,D,D,D,C,2024
신풍제약,B,D,B,B+,2020
신풍제약,B,D,B,B+,2021
신풍제약,D,D,C,D,2022
신풍제약,B,D,B,B+,2023
신풍제약,D,D,D,D,2024
신한지주,A+,A+,A,A+,2020
신한지주,A+,A+,A+,A+,2021
신한지주,A+,A+,A+,A+,2022
신한지주,A+,A+,A+,A+,2023
신한지주,A+,A+,A+,A+,2024
신흥,B,D,B,B,2020
신흥,B,D,B,B,2021
신흥,D,D,C,D,2022
신흥,B,D,B,B,2023
신흥,C,D,C,C,2024
쌍방울,C,D,B,C,2020
쌍방울,C,D,B,C,2021
쌍방울,D,D,C,D,2022
쌍방울,C,D,B,C,2023
쌍방울,D,D,D,D,2024
쌍용씨앤이,B+,B,B+,B+,2020
쌍용씨앤이,A,A,A,B+,2021
쌍용씨앤이,B+,B+,B,B+,2022
쌍용씨앤이,A,A,A,B+,2023
쌍용씨앤이,B+,B+,B,A,2024
써니전자,C,C,B,B,2020
써니전자,C,D,B,B,2021
써니전자,D,D,D,C,2022
써니전자,C,D,B,B,2023
써니전자,D,C,C,D,2024
씨아이테크,C,D,C,C,2020
씨아이테크,C,D,C,C,2021
씨아이테크,D,D,D,D,2022
씨아이테크,C,D,C,C,2023
씨아이테크,D,D,D,D,2024
씨에스윈드,B,B,C,B,2020
씨에스윈드,B,B,C,B+,2021
씨에스윈드,C,C,B,C,2022
씨에스윈드,B,B,C,B+,2023
씨에스윈드,A,B+,B+,A,2024
씨티알모빌리티,B,D,B,B+,2021
씨티알모빌리티,B,D,B,B+,2022
씨티알모빌리티,B,D,B,B+,2023
씨티알모빌리티,C,D,C,B,2024
아남전자,C,C,C,C,2020
아남전자,C,C,C,B,2021
아남전자,D,D,C,D,2022
아남전자,C,C,C,B,2023
아남전자,D,D,C,C,2024
아모레퍼시픽,A,A,A+,A,2020
아모레퍼시픽,A,A,A+,A,2021
아모레퍼시픽,A,A,A+,A,2022
아모레퍼시픽,A,A,A+,A,2023
아모레퍼시픽,A,A,A+,A,2024
아모레퍼시픽그룹,A,A,A+,A,2020
아모레퍼시픽그룹,A,A,A+,A,2021
아모레퍼시픽그룹,A,A,A+,B+,2022
아모레퍼시픽그룹,A,A,A+,A,2023
아모레퍼시픽그룹,A,A,A+,A,2024
아세아,C,C,B,C,2020
아세아,B+,B,B+,B+,2021
아세아,B+,B,B+,B+,2022
아세아,B+,B,B+,B+,2023
아세아,A,B+,B+,A,2024
아세아시멘트,B+,B+,B+,B,2020
아세아시멘트,B+,B+,B+,B,2021
아세아시멘트,C,B,B+,C,2022
아세아시멘트,B+,B+,B+,B,2023
아세아시멘트,B+,B+,A,B,2024
아세아제지,B,C,B,B,2020
아세아제지,B,C,B+,B,2021
아세아제지,C,C,B+,D,2022
아세아제지,B,C,B+,B,2023
아세아제지,C,B,B+,D,2024
아센디오,C,D,D,B,2021
아센디오,D,D,D,D,2022
아센디오,C,D,D,B,2023
아센디오,D,D,D,D,2024
아시아나IDT,C,D,B,C,2020
아시아나IDT,D,B,C,D,2021
아시아나IDT,C,D,C,C,2022
아시아나IDT,D,B,C,D,2023
아시아나IDT,D,C,C,D,2024
아시아나항공,C,B+,B+,D,2020
아시아나항공,C,B+,A,D,2021
아시아나항공,B,B+,A,C,2022
아시아나항공,C,B+,A,D,2023
아시아나항공,B+,A,A,B,2024
아이마켓코리아,B,D,B,B+,2020
아이마켓코리아,B,D,B+,B+,2021
아이마켓코리아,C,D,B+,C,2022
아이마켓코리아,B,D,B+,B+,2023
아이마켓코리아,C,C,B+,C,2024
아이에스동서,B,B,B,B+,2020
아이에스동서,B+,B,B+,B+,2021
아이에스동서,B+,B,A,B+,2022
아이에스동서,B+,B,B+,B+,2023
아이에스동서,B+,B+,A,B+,2024
아이에이치큐,B,D,B,B+,2020
아이에이치큐,C,D,C,B,2021
아이에이치큐,D,D,D,D,2022
아이에이치큐,C,D,C,B,2023
아이에이치큐,D,D,C,D,2024
아주스틸,C,C,C,C,2024
알루코,B,B,B,B,2020
알루코,C,C,D,B,2021
알루코,D,D,C,D,2022
알루코,C,C,D,B,2023
알루코,D,C,C,D,2024
애경산업,B,C,B+,B,2020
애경산업,A,B+,A+,B+,2021
애경산업,A,B+,A+,B+,2022
애경산업,A,B+,A+,B+,2023
애경산업,A,A,A+,A,2024
애경케미칼,B,B+,C,B,2020
애경케미칼,B,B,C,B,2021
애경케미칼,B+,B+,A,B+,2022
애경케미칼,B,B,C,B,2023
애경케미칼,A,A,A,B+,2024
에넥스,B,B,B+,B,2020
에넥스,B,C,B,B,2021
에넥스,C,D,C,C,2022
에넥스,B,C,B,B,2023
에넥스,C,C,C,C,2024
에스디바이오센서,-,-,-,-,2021
에스디바이오센서,-,-,-,-,2022
에스디바이오센서,-,-,-,-,2023
에스디바이오센서,D,C,C,D,2024
에스엘,C,B,B+,D,2020
에스엘,B+,B+,B+,B+,2021
에스엘,B+,B,B+,B+,2022
에스엘,B+,B+,B+,B+,2023
에스엘,B+,B+,A,B+,2024
에스엠벡셀,C,C,C,C,2020
에스엠벡셀,D,D,D,D,2022
에스엠벡셀,D,D,C,C,2024
에스원,B+,B,A,B+,2020
에스원,A,B,A,A,2021
에스원,B+,B+,A,B,2022
에스원,A,B,A,A,2023
에스원,B+,B+,A,B+,2024
에스제이엠,C,C,B,C,2020
에스제이엠,B,C,B,B+,2021
에스제이엠,D,D,C,C,2022
에스제이엠,B,C,B,B+,2023
에스제이엠,C,C,C,C,2024
에스제이엠홀딩스,B,C,B,B,2020
에스제이엠홀딩스,B,C,B,B,2021
에스제이엠홀딩스,C,D,C,C,2022
에스제이엠홀딩스,B,C,B,B,2023
에스제이엠홀딩스,C,C,C,C,2024
에스케이바이오팜,-,-,-,-,2020
에스케이바이오팜,-,-,-,-,2021
에스케이바이오팜,A,B+,A,A,2022
에스케이바이오팜,-,-,-,-,2023
에스케이바이오팜,A,B+,A+,A,2024
에쓰씨엔지니어링,C,C,B,B,2020
에쓰씨엔지니어링,C,C,C,B,2021
에쓰씨엔지니어링,D,D,D,D,2022
에쓰씨엔지니어링,C,C,C,B,2023
에쓰씨엔지니어링,D,C,D,D,2024
에어부산,C,C,B+,C,2020
에어부산,C,C,B,D,2021
에어부산,D,C,C,D,2022
에어부산,C,C,B,D,2023
에어부산,C,C,B,D,2024
에이리츠,C,D,D,B,2024
에이블씨엔씨,C,D,B,C,2020
에이블씨엔씨,B+,C,B+,B+,2021
에이블씨엔씨,B,D,B,B,2022
에이블씨엔씨,B+,C,B+,B+,2023
에이블씨엔씨,C,C,B,C,2024
에이엔피,C,B,C,C,2020
에이엔피,C,C,C,B,2021
에이엔피,D,D,D,D,2022
에이엔피,C,C,C,B,2023
에이엔피,D,C,D,D,2024
에이프로젠,C,C,D,C,2020
에이프로젠,C,D,C,C,2021
에이프로젠,D,D,D,D,2022
에이프로젠,C,D,C,C,2023
에이프로젠,D,D,D,D,2024
에이프로젠바이오로직스,C,D,C,C,2020
에이프로젠바이오로직스,C,D,C,C,2021
에이프로젠바이오로직스,D,D,D,D,2022
에이프로젠바이오로직스,C,D,C,C,2023
에이프로젠바이오로직스,D,D,D,D,2024
에이플러스에셋,D,D,D,C,2022
에이플러스에셋,C,D,C,C,2024
에코바이브,C,D,C,C,2020
에코바이브,D,D,C,D,2021
에코바이브,D,D,D,D,2022
에코바이브,D,D,C,D,2023
에코바이브,D,D,D,D,2024
에코프로머티,-,-,-,-,2024
엔씨소프트,B+,D,B+,A,2020
엔씨소프트,A,B+,A,A,2021
엔씨소프트,A,B+,A,A,2022
엔씨소프트,A,B+,A,A,2023
엔씨소프트,A,B+,A,A,2024
엔에이치엔,B,D,B+,B+,2020
엔에이치엔,B+,C,A,A,2021
엔에이치엔,A,B+,A,A,2022
엔에이치엔,B+,C,A,A,2023
엔에이치엔,A,B+,A+,A,2024
엔케이,C,B,C,C,2020
엔케이,C,B,C,C,2021
엔케이,D,D,D,D,2022
엔케이,C,B,C,C,2023
엔케이,C,D,C,C,2024
엔피씨,C,C,C,C,2020
엔피씨,C,C,D,C,2021
엔피씨,D,D,C,D,2022
엔피씨,C,C,D,C,2023
엔피씨,D,C,C,D,2024
엘브이엠씨,D,D,D,C,2022
엘앤에프,B,B,B+,B,2020
엘앤에프,B+,B,B+,B+,2021
엘앤에프,-,-,-,-,2022
엘앤에프,B+,B,B+,B+,2023
엘앤에프,-,-,-,-,2024
엘에스일렉트릭,A,B+,A+,B+,2020
엘에스일렉트릭,A,B+,A+,B+,2021
엘에스일렉트릭,A,B+,A,A,2022
엘에스일렉트릭,A,B+,A+,B+,2023
엘에스일렉트릭,A,A,A+,A,2024
엠씨넥스,C,C,B,B,2021
엠씨넥스,-,-,-,-,2022
엠씨넥스,C,C,B,B,2023
엠씨넥스,C,C,C,B,2024
영보화학,B,B,B,B,2020
영보화학,B,B,C,B,2021
영보화학,D,C,C,D,2022
영보화학,B,B,C,B,2023
영보화학,D,C,C,D,2024
영원무역,B,D,B,B+,2020
영원무역,B+,B+,B+,B+,2021
영원무역,B+,C,B+,B+,2022
영원무역,B+,B+,B+,B+,2023
영원무역,B+,B+,B+,B+,2024
영원무역홀딩스,B,D,B,B,2020
영원무역홀딩스,A,B+,B+,A,2021
영원무역홀딩스,C,C,B+,C,2022
영원무역홀딩스,A,B+,B+,A,2023
영원무역홀딩스,B+,B+,B+,B+,2024
영진약품,B,D,B+,B+,2020
영진약품,B+,B+,A,B+,2021
영진약품,B+,B+,B+,B,2022
영진약품,B+,B+,A,B+,2023
영진약품,B+,B+,A,B+,2024
영풍,C,D,B,D,2020
영풍,C,D,C,B+,2021
영풍,B,C,B+,B,2022
영풍,C,D,C,B+,2023
영풍,B+,B+,B+,B,2024
영풍제지,B,B,C,B,2020
영풍제지,B,B,C,B,2021
영풍제지,D,C,D,D,2022
영풍제지,B,B,C,B,2023
영풍제지,D,C,D,D,2024
영화금속,B,B,C,B,2020
영화금속,C,C,C,B+,2021
영화금속,D,D,D,C,2022
영화금속,C,C,C,B+,2023
영화금속,C,C,D,C,2024
영흥,B,C,B,B+,2020
영흥,B,C,B,B+,2021
영흥,C,D,D,B,2022
영흥,B,C,B,B+,2023
영흥,C,C,C,C,2024
예스코홀딩스,B,D,B+,B+,2020
예스코홀딩스,B+,B,B+,B+,2021
예스코홀딩스,B,C,B,B,2022
예스코홀딩스,B+,B,B+,B+,2023
예스코홀딩스,B,C,B,B+,2024
오뚜기,B+,B+,A,B,2020
오뚜기,A,B+,A+,B+,2021
오뚜기,C,C,B+,C,2022
오뚜기,A,B+,A+,B+,2023
오뚜기,B+,B+,A,B+,2024
오리엔트바이오,C,B,B,C,2020
오리엔트바이오,C,D,C,C,2021
오리엔트바이오,D,D,D,D,2022
오리엔트바이오,C,D,C,C,2023
오리엔트바이오,D,D,D,D,2024
오리온,B+,B,B+,A,2020
오리온,A,A,A,B+,2021
오리온,A,B+,A,A,2022
오리온,A,A,A,B+,2023
오리온,A,A,A,B+,2024
오리온홀딩스,B+,C,B+,A,2020
오리온홀딩스,A,A,A,A,2021
오리온홀딩스,A,B+,A,A,2022
오리온홀딩스,A,A,A,A,2023
오리온홀딩스,A,A,A,A,2024
와이투솔루션,D,C,C,D,2020
와이투솔루션,D,D,D,C,2022
와이투솔루션,C,C,C,C,2024
우리금융지주,B+,B+,B+,B+,2020
우리금융지주,A,A+,A+,A,2021
우리금융지주,A,A,A+,B+,2022
우리금융지주,A,A+,A+,A,2023
우리금융지주,A,A+,A+,A,2024
우리종금,B,D,B,B,2020
우리종금,B,D,B+,B,2021
우리종금,B,C,B,B+,2022
우리종금,B,D,B+,B,2023
우리종금,B+,B+,A,B+,2024
우성,C,D,C,C,2020
우성,C,D,C,B+,2021
우성,C,D,C,B,2022
우성,C,D,C,B+,2023
우성,C,D,C,C,2024
우신시스템,B+,B,B,B+,2020
우신시스템,B,C,C,B+,2021
우신시스템,D,D,D,C,2022
우신시스템,B,C,C,B+,2023
우신시스템,C,D,D,B,2024
우진,B+,B,B,B+,2020
우진,B,C,C,B+,2021
우진,C,D,C,B,2022
우진,B,C,C,B+,2023
우진,C,D,C,C,2024
우진아이엔에스,C,C,C,B+,2020
우진아이엔에스,C,C,C,B+,2021
우진아이엔에스,C,D,D,B,2022
우진아이엔에스,C,C,C,B+,2023
우진아이엔에스,C,C,D,B,2024
우진플라임,B,B,B,B,2020
우진플라임,B,B,C,B,2021
우진플라임,D,D,D,D,2022
우진플라임,B,B,C,B,2023
우진플라임,C,C,D,C,2024
웅진,B,D,B,B+,2020
웅진,B,D,B+,B+,2021
웅진,C,C,B+,C,2022
웅진,B,D,B+,B+,2023
웅진,B+,B,A,B,2024
웅진씽크빅,B,D,B,B,2020
웅진씽크빅,B+,B,A,B+,2021
웅진씽크빅,B+,C,B+,B+,2022
웅진씽크빅,B+,B,A,B+,2023
웅진씽크빅,B+,B+,A+,B,2024
원림,C,D,B,C,2020
원림,C,D,B,B,2021
원림,D,D,D,C,2022
원림,C,D,B,B,2023
원림,C,C,D,C,2024
웰바이오텍,B,D,B,B,2020
웰바이오텍,B,D,B,B,2021
웰바이오텍,D,D,D,D,2022
웰바이오텍,B,D,B,B,2023
웰바이오텍,D,D,D,D,2024
윌비스,C,D,C,C,2020
윌비스,C,D,D,B+,2021
윌비스,D,D,D,C,2022
윌비스,C,D,D,B+,2023
윌비스,D,D,C,D,2024
유나이티드,B,B,B+,B,2020
유나이티드,B,C,B,B+,2021
유나이티드,B,C,C,B+,2022
유나이티드,B,C,B,B+,2023
유나이티드,B,C,B,B+,2024
유니드,B,B,B,B,2020
유니드,B+,B,B+,B+,2021
유니드,B,C,B+,B,2022
유니드,B+,B,B+,B+,2023
유니드,B+,B+,B+,B,2024
유니온,C,C,B,C,2020
유니온,B,B,B,B,2021
유니온,C,C,C,B,2022
유니온,B,B,B,B,2023
유니온,C,C,C,B,2024
유니온머티리얼,B,B,B,B,2020
유니온머티리얼,B,B,C,B,2021
유니온머티리얼,D,D,D,C,2022
유니온머티리얼,B,B,C,B,2023
유니온머티리얼,C,C,D,C,2024
유니켐,B,B,C,B,2020
유니켐,B,C,C,B+,2021
